Date: 01-15 at 20:42:00, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1135.78(12), mean: 2136.13, max: 2679.59
Date: 01-15 at 20:43:03, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1122.20(12), mean: 1962.94, max: 2592.55
Date: 01-15 at 20:44:07, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1120.71(12), mean: 1717.55, max: 2439.73
Date: 01-15 at 20:45:10, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1119.97(13), mean: 1650.10, max: 2373.11
Date: 01-15 at 20:46:11, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1082.77(13), mean: 1667.56, max: 2360.06
Date: 01-15 at 20:47:16, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1082.77(13), mean: 1615.57, max: 2275.90
Date: 01-15 at 20:48:20, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1082.77(13), mean: 1614.64, max: 2252.69
Date: 01-15 at 20:49:28, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1082.77(13), mean: 1153.57, max: 1321.73
Date: 01-15 at 20:50:28, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1082.77(13), mean: 1196.37, max: 1316.85
Date: 01-15 at 20:51:32, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1077.88(12), mean: 1303.57, max: 1435.91
Date: 01-15 at 20:52:36, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1043.53(12), mean: 1173.28, max: 1389.04
Date: 01-15 at 20:53:37, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1027.79(12), mean: 1201.36, max: 1410.07
Date: 01-15 at 20:54:37, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1027.12(12), mean: 1207.42, max: 1390.04
Date: 01-15 at 20:55:36, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1027.12(12), mean: 1123.20, max: 1320.66
Date: 01-15 at 20:56:40, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1027.12(12), mean: 1106.95, max: 1197.61
Date: 01-15 at 20:57:40, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1010.60(11), mean: 1091.19, max: 1215.50
Date: 01-15 at 20:58:44, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1003.57(11), mean: 1042.48, max: 1107.18
Date: 01-15 at 20:59:42, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 1003.57(11), mean: 1090.23, max: 1161.47
Date: 01-15 at 21:00:46, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 989.21(11), mean: 1031.93, max: 1075.79
Date: 01-15 at 21:01:45, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 989.21(11), mean: 1081.96, max: 1131.25
Date: 01-15 at 21:02:45, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 988.05(11), mean: 1034.66, max: 1132.80
Date: 01-15 at 21:03:43, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 988.05(11), mean: 1033.58, max: 1176.78
Date: 01-15 at 21:04:44, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 988.05(11), mean: 1025.67, max: 1089.98
Date: 01-15 at 21:05:45, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 988.05(11), mean: 1018.83, max: 1068.70
Date: 01-15 at 21:06:44, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 988.05(11), mean: 1030.71, max: 1071.50
Date: 01-15 at 21:07:46, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 988.05(11), mean: 1057.75, max: 1290.09
Date: 01-15 at 21:08:46, #particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 988.05(11), mean: 1030.23, max: 1267.78
Date: 01-15 at 21:09:45, #particle: 15, iter: 30, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 988.05(11), mean: 1027.93, max: 1265.08
Date: 01-15 at 21:10:50, #particle: 15, iter: 31, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 988.05(11), mean: 1012.96, max: 1232.69
Date: 01-15 at 21:11:51, #particle: 15, iter: 33, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 988.05(11), mean: 1082.33, max: 1300.98
Date: 01-15 at 21:12:50, #particle: 15, iter: 34, fix: false, local: true, cut car: true, new generate: false, Khoo: 938.2, best obj: 988.05(11), mean: 1058.50, max: 1329.91
