Date: 07-19 at 11:08:38, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1367.40(14) mean: 2690.15, max: 3523.16
Date: 07-19 at 11:09:27, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1330.17(13) mean: 2313.72, max: 3319.52
Date: 07-19 at 11:10:17, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1330.17(13) mean: 2310.93, max: 3275.34
Date: 07-19 at 11:11:07, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1330.17(13) mean: 2173.49, max: 3175.72
Date: 07-19 at 11:11:57, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1323.03(12) mean: 1748.02, max: 2655.77
Date: 07-19 at 11:12:47, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1293.54(12) mean: 1676.59, max: 2438.96
Date: 07-19 at 11:13:36, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1272.08(11) mean: 1619.85, max: 2372.76
Date: 07-19 at 11:14:27, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1268.66(11) mean: 1637.61, max: 2383.92
Date: 07-19 at 11:15:17, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1268.66(11) mean: 1530.80, max: 2283.32
Date: 07-19 at 11:16:08, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1268.66(11) mean: 1369.65, max: 1569.03
Date: 07-19 at 11:16:57, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1268.66(11) mean: 1338.86, max: 1454.91
Date: 07-19 at 11:17:48, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1254.81(11) mean: 1322.51, max: 1399.39
Date: 07-19 at 11:18:39, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1245.54(10) mean: 1297.66, max: 1352.23
Date: 07-19 at 11:19:27, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1245.54(10) mean: 1303.79, max: 1405.12
Date: 07-19 at 11:20:19, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 1144.48 best obj: 1245.54(10) mean: 1380.31, max: 1473.84
