Date: 01-08 at 22:08:08, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1713.01(13), mean: 3388.46, max: 4264.55
Date: 01-08 at 22:09:05, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1535.42(11), mean: 2561.94, max: 3828.97
Date: 01-08 at 22:09:58, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1443.62(10), mean: 2296.15, max: 3721.05
Date: 01-08 at 22:10:53, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1440.49(10), mean: 2146.18, max: 3371.95
Date: 01-08 at 22:11:46, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1440.49(10), mean: 1916.42, max: 2955.88
Date: 01-08 at 22:12:44, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1421.76(10), mean: 1546.53, max: 1664.27
Date: 01-08 at 22:13:36, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1384.18(10), mean: 1534.32, max: 1632.27
Date: 01-08 at 22:14:31, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1347.03(10), mean: 1616.83, max: 1754.55
Date: 01-08 at 22:15:25, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1347.03(10), mean: 1644.26, max: 1788.26
Date: 01-08 at 22:16:23, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1347.03(10), mean: 1597.63, max: 1809.70
Date: 01-08 at 22:17:18, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1347.03(10), mean: 1455.64, max: 1535.36
Date: 01-08 at 22:18:15, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1347.03(10), mean: 1471.19, max: 1574.87
Date: 01-08 at 22:19:09, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1347.03(10), mean: 1577.19, max: 1879.53
Date: 01-08 at 22:20:04, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1347.03(10), mean: 1516.25, max: 1738.18
Date: 01-08 at 22:20:57, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1347.03(10), mean: 1524.56, max: 1820.58
Date: 01-08 at 22:21:52, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1347.03(10), mean: 1448.01, max: 1764.13
Date: 01-08 at 22:22:44, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1347.03(10), mean: 1635.05, max: 2119.90
Date: 01-08 at 22:23:39, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91, best obj: 1347.03(10), mean: 1558.94, max: 2080.44
