name,random1,random2,random3,random4,random5,random6,random7,random8,random9,random10,random11,random12,random13,random14,random15,random16
r101,,,,,,,,,,,,,,,,5
r102,,,,,,,,,,,,,,,,
r103,,,,,10,,,3,,2,,,,,,
r104,,,,,,,,,,,,,,,,
r105,,,,,,,,,,,,,,,,
r106,,,,,,,,,,,,,,,,
r107,,,,,,,,,,,,,,,,
r108,,,,,,,,,,,,,,,,
r109,,,,,,,,,,,,,,,,
r110,,,,,,,,,,,,,,,,
r111,,,,,,,,,,,,,,,,
r112,,,,,,,,,,,,,,,,
r201,,,,,,,,,,,,,,,,
r202,,,,,,,,,,,,,,,,
r203,,,,,,,,,,,,,,,,
r204,,,,,5,,,1,,4,1,,,,,
r205,,,,,,,,,,,,,,,,
r206,,,,,,,,,,,,,,,,
r207,,,,,,,,,,,,,,,,
r208,,,,,15,,,15,,6,2,,10,10,1,6
r209,,,,,,,,,,,,,,,,
r210,,,,,,,,,,,,,,,,
r211,,,,,,,,,,,,,,,,
c101,,,,,,,,,,,,,,,,
c102,,,,,,,,,,,,,,,,
c103,,,,,,,,,,,,,,,,
c104,,,,,,,,,,,,,,,,
c105,,,,,,,,,,,,,,,,
c106,,,,,,,,,,,,,,,,
c107,,,,,,,,,,,,,,,,
c108,,,,,,,,,,,,,,,,
c109,,,,,,,,,,,,,,,,
c201,,,,,,,,,,,,,,,,
c202,,,,,,,,,,,,,,,,
c203,,,,,,,,,,,,,,,,
c204,,,,,,,,,,,,,,,,
c205,,,,,,,,,,,,,,,,
c206,,,,,,,,,,,,,,,,
c207,,,,,,,,,,,,,,,,
c208,,,,,,,,,,,,,,,,
rc101,,,,,,,,,,,,,,,,24
rc102,,,,,,,,,,,,,,,,24
rc103,,,,,,,,,,,,,,,,21
rc104,,,,,,,,,,,,,,,,19
rc105,,,,,,,,,,,,,,,,19
rc106,,,,,,,,,,,,,,,,19
rc107,,,,,,,,,,,,,,,,15
rc108,,,,,,,,,,,,,,,,14
rc201,,,,,,,,,,,,,,,,15
rc202,,,,,,,,,,,,,,,,15
rc203,,,,,,,,,,,,,,,,15
rc204,,,,,,,,,,,,,,,,15
rc205,,,,,,,,,,,,,,,,15
rc206,,,,,,,,,,,,,,,,14
rc207,,,,,,,,,,,,,,,,10
rc208,,,,,,,,,,,,,,,,10
