name,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16
r101,35,16,38,18,35,5,5,8,10,5,5,5,5,5,20,5
r102,35,15,35,5,35,5,5,5,5,5,5,5,5,5,5,10
r103,35,15,35,,37,5,1,5,,5,5,1,6,6,10,4
r104,35,10,35,,30,,,5,,5,5,,5,5,5,5
r105,35,10,35,15,36,,,6,,6,1,,,,10,15
r106,55,7,30,,31,,,1,,1,1,,1,,10,10
r107,39,5,30,,31,,,1,,1,1,,1,,12,15
r108,30,5,30,,33,,,1,,1,1,,1,,15,15
r109,35,5,35,,31,,,1,,1,1,,1,,,5
r110,35,5,35,,26,,,1,,1,1,,1,,5,
r111,35,5,35,,31,,,1,,1,1,,1,,10,5
r112,35,5,35,,31,,,1,,1,1,,1,,15,10
r201,43,15,40,10,45,9,5,6,20,5,6,5,6,6,16,20
r202,40,15,40,10,35,5,5,5,3,3,3,5,5,5,2,9
r203,38,15,37,5,35,5,,5,,,,,,5,5,5
r204,35,5,35,5,35,,,5,,,,,5,5,5,5
r205,35,5,35,5,35,,,5,,,,,5,10,10,5
r206,35,5,35,5,35,,,10,,5,4,,5,10,10,5
r207,35,5,35,5,45,,,6,,5,,,,5,5,
r208,35,5,35,4,35,,,5,,5,,,,5,22,20
r209,35,5,35,,33,,,,,,,,,,12,15
r210,35,5,35,,40,,,5,,5,,,,,5,10
r211,35,5,35,,40,,,5,,5,,,,,10,15
c101,38,15,41,2,10,8,4,7,1,1,1,3,2,6,6,5
c102,38,13,38,2,2,5,3,6,1,1,1,1,3,6,7,4
c103,32,12,32,3,4,10,4,10,1,1,2,1,7,4,11,6
c104,40,15,40,6,7,10,4,10,2,1,,,5,10,18,17
c105,30,13,31,2,6,3,3,5,1,1,1,1,2,3,5,6
c106,6,14,28,2,2,2,2,10,1,2,1,1,2,3,5,6
c107,30,9,30,2,3,3,2,10,1,1,1,1,2,3,5,6
c108,30,11,30,3,2,2,2,9,1,1,1,1,2,4,5,5
c109,10,15,34,3,3,7,3,10,2,1,3,1,6,5,5,6
c201,40,15,37,4,15,5,1,5,1,1,1,1,1,1,4,2
c202,40,15,40,3,6,5,1,5,1,5,1,1,5,2,4,2
c203,40,15,31,10,10,5,5,9,5,5,2,5,5,5,17,7
c204,35,10,30,5,7,,,5,,5,5,,5,5,15,10
c205,35,10,30,1,5,,,5,,5,1,,1,,3,1
c206,40,15,30,10,9,,,5,5,10,10,5,10,1,9,1
c207,37,15,30,2,2,4,1,5,1,5,1,1,3,1,3,1
c208,30,15,30,10,5,5,5,5,5,5,5,5,5,5,10,5
rc101,89,16,90,26,10,5,5,10,5,5,5,5,5,10,10,20
rc102,70,15,70,10,11,5,5,10,5,5,5,5,3,10,10,20
rc103,70,15,70,10,10,5,5,8,2,5,,5,5,10,5,7
rc104,65,10,65,1,10,,,5,,5,,,,5,15,15
rc105,35,10,35,,10,,,5,,1,,,,5,17,15
rc106,35,10,35,,10,,,5,,,,,,5,5,
rc107,35,5,35,,15,,,10,,5,5,,5,10,20,20
rc108,35,5,35,,10,,,5,,,,,,15,20,15
rc201,40,15,40,10,10,5,5,5,5,5,5,5,21,15,15,10
rc202,70,15,40,10,10,5,5,5,5,5,5,5,20,10,6,5
rc203,70,15,40,10,5,5,5,9,,,,5,19,10,5,5
rc204,65,10,35,5,1,,,1,,1,1,,11,6,6,6
rc205,65,10,65,5,1,,,1,,1,1,,11,6,6,6
rc206,65,10,65,3,1,,,1,,1,1,,1,1,1,6
rc207,65,10,65,,1,,,1,,1,1,,1,1,1,6
rc208,65,10,62,,1,,,1,,1,1,,1,1,1,6
