Date: 08-05 at 17:59:57, iter: 1, new3, Khoo: 753.15, current_best: 1109.93 best obj: 1109.93(4) mean: 2455.39, max: 3401.95
Date: 08-05 at 18:01:33, iter: 2, new3, Khoo: 753.15, current_best: 1028.72 best obj: 1028.72(3) mean: 2344.04, max: 3306.99
Date: 08-05 at 18:02:33, iter: 3, new3, Khoo: 753.15, current_best: 1004.74 best obj: 1004.74(3) mean: 1700.29, max: 2747.01
Date: 08-05 at 18:03:12, iter: 4, new3, Khoo: 753.15, current_best: 991.72 best obj: 991.72(3) mean: 1127.47, max: 1360.91
Date: 08-05 at 18:04:01, iter: 5, new3, Khoo: 753.15, current_best: 991.16 best obj: 991.16(3) mean: 1116.62, max: 1267.31
Date: 08-05 at 18:04:36, iter: 6, new3, Khoo: 753.15, current_best: 986.85 best obj: 986.85(3) mean: 1054.14, max: 1198.10
Date: 08-05 at 18:05:09, iter: 7, new3, Khoo: 753.15, current_best: 966.78 best obj: 966.78(3) mean: 1016.39, max: 1092.77
Date: 08-05 at 18:05:54, iter: 8, new3, Khoo: 753.15, current_best: 955.91 best obj: 955.91(3) mean: 1103.41, max: 1190.87
Date: 08-05 at 18:06:41, iter: 9, new3, Khoo: 753.15, current_best: 953.25 best obj: 953.25(3) mean: 961.36, max: 1055.28
Date: 08-05 at 18:07:28, iter: 10, new3, Khoo: 753.15, current_best: 953.04 best obj: 953.04(3) mean: 992.32, max: 1091.23
Date: 08-05 at 18:08:14, iter: 11, new3, Khoo: 753.15, current_best: 952.83 best obj: 952.83(3) mean: 962.76, max: 988.87
Date: 08-05 at 18:08:59, iter: 12, new3, Khoo: 753.15, current_best: 952.83 best obj: 952.83(3) mean: 961.60, max: 1004.50
Date: 08-05 at 18:09:35, iter: 13, new3, Khoo: 753.15, current_best: 952.83 best obj: 952.83(3) mean: 972.09, max: 997.50
Date: 08-05 at 18:10:22, iter: 14, new3, Khoo: 753.15, current_best: 951.82 best obj: 951.82(3) mean: 954.23, max: 963.23
Date: 08-05 at 18:10:55, iter: 15, new3, Khoo: 753.15, current_best: 946.90 best obj: 946.90(3) mean: 978.64, max: 990.50
Date: 08-05 at 18:11:43, iter: 16, new3, Khoo: 753.15, current_best: 946.90 best obj: 946.90(3) mean: 952.76, max: 995.35
Date: 08-05 at 18:12:16, iter: 17, new3, Khoo: 753.15, current_best: 946.90 best obj: 946.90(3) mean: 949.05, max: 997.79
Date: 08-05 at 18:12:49, iter: 18, new3, Khoo: 753.15, current_best: 946.90 best obj: 946.90(3) mean: 947.00, max: 948.36
Date: 08-05 at 18:15:44, iter: 20, new3, Khoo: 753.15, current_best: 946.90 best obj: 946.90(3) mean: 1007.05, max: 1255.81
Date: 08-05 at 18:16:29, iter: 21, new3, Khoo: 753.15, current_best: 946.90 best obj: 946.90(3) mean: 955.73, max: 1015.94
Date: 08-05 at 18:17:02, iter: 22, new3, Khoo: 753.15, current_best: 946.90 best obj: 946.90(3) mean: 946.90, max: 946.90
Date: 08-05 at 18:17:45, iter: 23, new3, Khoo: 753.15, current_best: 946.90 best obj: 946.90(3) mean: 946.90, max: 946.90
Date: 08-05 at 18:21:07, iter: 25, new3, Khoo: 753.15, current_best: 946.90 best obj: 946.90(3) mean: 1012.20, max: 1375.32
Date: 08-05 at 18:21:59, iter: 27, new3, Khoo: 753.15, current_best: 946.90 best obj: 946.90(4) mean: 1011.29, max: 1406.17
Date: 08-05 at 18:22:39, iter: 28, new3, Khoo: 753.15, current_best: 946.90 best obj: 965.49(4) mean: 1236.01, max: 1333.16
Date: 08-05 at 18:23:17, iter: 29, new3, Khoo: 753.15, current_best: 946.90 best obj: 960.84(4) mean: 1275.54, max: 1379.87
Date: 08-05 at 18:24:03, iter: 30, new3, Khoo: 753.15, current_best: 944.18 best obj: 944.18(3) mean: 954.45, max: 976.55
Date: 08-05 at 18:24:47, iter: 31, new3, Khoo: 753.15, current_best: 935.61 best obj: 935.61(3) mean: 950.15, max: 969.20
Date: 08-05 at 18:25:23, iter: 32, new3, Khoo: 753.15, current_best: 935.61 best obj: 935.61(3) mean: 975.13, max: 1004.01
Date: 08-05 at 18:26:02, iter: 33, new3, Khoo: 753.15, current_best: 935.61 best obj: 935.61(3) mean: 954.89, max: 993.04
Date: 08-05 at 18:26:44, iter: 34, new3, Khoo: 753.15, current_best: 935.61 best obj: 935.61(3) mean: 974.96, max: 1025.50
Date: 08-05 at 18:29:33, iter: 36, new3, Khoo: 753.15, current_best: 935.61 best obj: 935.61(3) mean: 1022.15, max: 1459.99
Date: 08-05 at 18:30:20, iter: 37, new3, Khoo: 753.15, current_best: 935.61 best obj: 935.61(3) mean: 990.78, max: 1398.35
Date: 08-05 at 18:30:54, iter: 38, new3, Khoo: 753.15, current_best: 933.87 best obj: 933.87(3) mean: 943.62, max: 1091.89
Date: 08-05 at 18:31:36, iter: 39, new3, Khoo: 753.15, current_best: 931.37 best obj: 931.37(3) mean: 988.29, max: 1123.94
Date: 08-05 at 18:32:14, iter: 40, new3, Khoo: 753.15, current_best: 931.37 best obj: 931.37(3) mean: 1021.20, max: 1158.23
Date: 08-05 at 18:33:02, iter: 41, new3, Khoo: 753.15, current_best: 931.37 best obj: 931.37(3) mean: 931.37, max: 931.37
Date: 08-05 at 18:33:44, iter: 42, new3, Khoo: 753.15, current_best: 931.37 best obj: 931.37(3) mean: 931.37, max: 931.37
