Date: 08-11 at 05:03:23, iter: 1, new3, Khoo: 1135.52, current_best: 1359.33 best obj: 1359.33(13) mean: 2408.54, max: 3137.71
Date: 08-11 at 05:05:56, iter: 2, new3, Khoo: 1135.52, current_best: 1326.46 best obj: 1326.46(13) mean: 2113.52, max: 3122.03
Date: 08-11 at 05:08:32, iter: 3, new3, Khoo: 1135.52, current_best: 1309.35 best obj: 1309.35(13) mean: 2098.23, max: 3079.19
Date: 08-11 at 05:11:04, iter: 4, new3, Khoo: 1135.52, current_best: 1309.35 best obj: 1309.35(13) mean: 2091.34, max: 2990.64
Date: 08-11 at 05:13:42, iter: 5, new3, Khoo: 1135.52, current_best: 1309.35 best obj: 1309.35(13) mean: 1830.14, max: 2915.30
Date: 08-11 at 05:16:27, iter: 6, new3, Khoo: 1135.52, current_best: 1302.67 best obj: 1302.67(13) mean: 1628.81, max: 2737.46
Date: 08-11 at 05:19:11, iter: 7, new3, Khoo: 1135.52, current_best: 1269.15 best obj: 1269.15(12) mean: 1559.64, max: 2730.28
Date: 08-11 at 05:21:30, iter: 8, new3, Khoo: 1135.52, current_best: 1265.41 best obj: 1265.41(12) mean: 1601.48, max: 2695.68
Date: 08-11 at 05:24:09, iter: 9, new3, Khoo: 1135.52, current_best: 1265.41 best obj: 1265.41(12) mean: 1473.15, max: 2499.92
Date: 08-11 at 05:26:33, iter: 10, new3, Khoo: 1135.52, current_best: 1265.41 best obj: 1265.41(12) mean: 1428.55, max: 1508.58
Date: 08-11 at 05:29:03, iter: 11, new3, Khoo: 1135.52, current_best: 1265.41 best obj: 1265.41(12) mean: 1362.74, max: 1452.54
Date: 08-11 at 05:31:30, iter: 13, new3, Khoo: 1135.52, current_best: 1265.41 best obj: 1265.41(12) mean: 1522.72, max: 1767.94
Date: 08-11 at 05:34:04, iter: 14, new3, Khoo: 1135.52, current_best: 1265.41 best obj: 1265.41(12) mean: 1407.83, max: 1771.04
Date: 08-11 at 05:36:31, iter: 15, new3, Khoo: 1135.52, current_best: 1265.41 best obj: 1265.41(12) mean: 1392.09, max: 1579.78
