Date: 08-01 at 02:14:28, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1410.11(17), mean: 2104.39, max: 2888.18
Date: 08-01 at 02:15:46, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1368.43(17), mean: 2044.45, max: 2910.51
Date: 08-01 at 02:17:02, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1342.25(17), mean: 2036.18, max: 2932.87
Date: 08-01 at 02:18:20, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1342.25(17), mean: 1943.42, max: 2733.78
Date: 08-01 at 02:19:35, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1342.25(17), mean: 1764.66, max: 2621.21
Date: 08-01 at 02:20:56, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1342.25(17), mean: 1780.81, max: 2613.56
Date: 08-01 at 02:22:15, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1319.16(16), mean: 1403.05, max: 1491.39
Date: 08-01 at 02:23:33, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1309.19(16), mean: 1467.33, max: 1551.56
Date: 08-01 at 02:24:48, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1309.19(16), mean: 1487.61, max: 1620.22
Date: 08-01 at 02:26:03, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1309.19(16), mean: 1421.92, max: 1639.01
Date: 08-01 at 02:27:20, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1309.19(16), mean: 1462.62, max: 1692.48
Date: 08-01 at 02:28:35, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1309.19(16), mean: 1458.50, max: 1711.23
Date: 08-01 at 02:29:52, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1309.19(16), mean: 1408.02, max: 1590.15
Date: 08-01 at 02:31:08, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1309.19(16), mean: 1436.48, max: 1603.07
Date: 08-01 at 02:32:24, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1301.66(15), mean: 1384.15, max: 1566.80
Date: 08-01 at 02:33:38, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1301.61(15), mean: 1413.06, max: 1624.10
Date: 08-01 at 02:34:49, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1301.61(15), mean: 1349.30, max: 1399.57
Date: 08-01 at 02:36:02, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1300.59(16), mean: 1351.42, max: 1452.51
Date: 08-01 at 02:37:15, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1294.83(15), mean: 1369.66, max: 1499.80
Date: 08-01 at 02:38:27, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1294.83(15), mean: 1408.32, max: 1537.99
Date: 08-01 at 02:39:41, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1277.97(15), mean: 1405.16, max: 1541.73
Date: 08-01 at 02:40:53, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1277.97(15), mean: 1372.99, max: 1532.90
Date: 08-01 at 02:42:06, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1277.97(15), mean: 1334.23, max: 1418.63
Date: 08-01 at 02:43:22, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1277.97(15), mean: 1356.70, max: 1481.91
Date: 08-01 at 02:44:36, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1277.97(15), mean: 1344.64, max: 1452.70
Date: 08-01 at 02:45:46, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1277.97(15), mean: 1311.30, max: 1350.76
Date: 08-01 at 02:46:58, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1277.97(15), mean: 1315.23, max: 1407.18
Date: 08-01 at 02:48:08, #particle: 15, iter: 28, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1277.97(15), mean: 1307.14, max: 1348.91
Date: 08-01 at 02:49:19, #particle: 15, iter: 29, fix: false, local: true, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1277.97(15), mean: 1313.16, max: 1346.06
