Date: 08-02 at 01:25:13, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 974.42(6), mean: 2228.28, max: 3396.86
Date: 08-02 at 01:26:10, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 921.15(6), mean: 1938.91, max: 2847.12
Date: 08-02 at 01:27:03, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 902.37(6), mean: 1790.71, max: 2763.79
Date: 08-02 at 01:27:59, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 887.91(6), mean: 1812.60, max: 2791.81
Date: 08-02 at 01:28:55, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 887.91(6), mean: 1811.68, max: 2752.73
Date: 08-02 at 01:29:52, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 881.14(6), mean: 1278.25, max: 2019.10
Date: 08-02 at 01:30:44, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 881.14(6), mean: 970.30, max: 1090.03
Date: 08-02 at 01:31:42, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 881.14(6), mean: 1026.79, max: 1115.00
Date: 08-02 at 01:32:36, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 881.14(6), mean: 1059.71, max: 1147.44
Date: 08-02 at 01:33:32, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 841.39(7), mean: 1011.47, max: 1145.80
Date: 08-02 at 01:34:25, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 824.63(6), mean: 1044.90, max: 1187.76
Date: 08-02 at 01:35:19, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 808.26(6), mean: 889.80, max: 936.31
Date: 08-02 at 01:36:12, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 804.77(5), mean: 908.64, max: 969.83
Date: 08-02 at 01:37:04, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 802.90(5), mean: 889.46, max: 997.58
Date: 08-02 at 01:37:57, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 802.90(5), mean: 915.71, max: 1046.15
Date: 08-02 at 01:38:49, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 802.90(5), mean: 844.01, max: 929.51
Date: 08-02 at 01:39:42, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 802.90(5), mean: 834.36, max: 891.24
Date: 08-02 at 01:40:35, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 802.90(5), mean: 848.37, max: 903.42
Date: 08-02 at 01:41:25, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 802.90(5), mean: 832.27, max: 888.74
Date: 08-02 at 01:42:16, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 802.90(5), mean: 829.13, max: 888.74
Date: 08-02 at 01:43:05, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 793.76(5), mean: 829.35, max: 873.12
Date: 08-02 at 01:43:56, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 786.08(5), mean: 824.65, max: 887.22
Date: 08-02 at 01:44:46, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 784.73(5), mean: 815.26, max: 863.38
Date: 08-02 at 01:45:39, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 782.59(5), mean: 826.04, max: 869.37
Date: 08-02 at 01:46:29, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 823.74, max: 884.78
Date: 08-02 at 01:47:21, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 814.57, max: 913.67
Date: 08-02 at 01:48:11, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 784.79, max: 805.42
Date: 08-02 at 01:49:05, #particle: 15, iter: 28, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 783.83, max: 820.96
Date: 08-02 at 01:49:59, #particle: 15, iter: 29, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 783.39, max: 817.95
Date: 08-02 at 01:50:55, #particle: 15, iter: 30, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 780.92, max: 782.36
Date: 08-02 at 01:51:47, #particle: 15, iter: 31, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 780.82, max: 780.82
Date: 08-02 at 01:52:38, #particle: 15, iter: 32, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 780.82, max: 780.82
Date: 08-02 at 01:53:34, #particle: 15, iter: 33, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 780.82, max: 780.82
Date: 08-02 at 01:54:29, #particle: 15, iter: 34, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 780.82, max: 780.82
Date: 08-02 at 01:55:22, #particle: 15, iter: 36, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 3023.10, max: 3631.79
Date: 08-02 at 01:56:16, #particle: 15, iter: 37, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 2209.12, max: 3197.71
Date: 08-02 at 01:57:07, #particle: 15, iter: 38, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 977.77, max: 1072.49
Date: 08-02 at 01:57:57, #particle: 15, iter: 39, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 976.84, max: 1059.35
Date: 08-02 at 01:58:48, #particle: 15, iter: 40, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 954.19, max: 1109.57
Date: 08-02 at 01:59:38, #particle: 15, iter: 41, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 888.31, max: 950.95
Date: 08-02 at 02:00:28, #particle: 15, iter: 42, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 932.28, max: 1017.32
Date: 08-02 at 02:01:16, #particle: 15, iter: 43, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 850.51, max: 958.83
Date: 08-02 at 02:02:05, #particle: 15, iter: 44, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 843.19, max: 904.10
Date: 08-02 at 02:02:57, #particle: 15, iter: 46, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 3037.78, max: 3717.57
Date: 08-02 at 02:03:54, #particle: 15, iter: 47, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 2738.29, max: 3385.49
Date: 08-02 at 02:04:50, #particle: 15, iter: 48, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 993.00, max: 1070.51
Date: 08-02 at 02:05:40, #particle: 15, iter: 49, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 1011.25, max: 1086.02
Date: 08-02 at 02:06:33, #particle: 15, iter: 50, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 1027.44, max: 1123.81
Date: 08-02 at 02:07:23, #particle: 15, iter: 51, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 909.13, max: 996.51
Date: 08-02 at 02:08:13, #particle: 15, iter: 52, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 863.08, max: 925.62
Date: 08-02 at 02:09:03, #particle: 15, iter: 53, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 847.40, max: 919.10
Date: 08-02 at 02:09:52, #particle: 15, iter: 54, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 829.60, max: 875.75
Date: 08-02 at 02:10:45, #particle: 15, iter: 56, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 2967.36, max: 3658.52
Date: 08-02 at 02:11:40, #particle: 15, iter: 57, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 2232.17, max: 3290.61
Date: 08-02 at 02:12:34, #particle: 15, iter: 58, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 1722.22, max: 2820.51
Date: 08-02 at 02:13:25, #particle: 15, iter: 59, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 1330.40, max: 2443.83
Date: 08-02 at 02:14:17, #particle: 15, iter: 60, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 896.95, max: 1078.90
Date: 08-02 at 02:15:05, #particle: 15, iter: 61, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 867.28, max: 1002.13
Date: 08-02 at 02:15:54, #particle: 15, iter: 62, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 780.82(5), mean: 818.16, max: 876.65
Date: 08-02 at 02:16:42, #particle: 15, iter: 63, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 801.83, max: 857.36
Date: 08-02 at 02:17:34, #particle: 15, iter: 64, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 808.76, max: 877.36
Date: 08-02 at 02:18:22, #particle: 15, iter: 65, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 785.73, max: 826.40
Date: 08-02 at 02:19:15, #particle: 15, iter: 66, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 788.47, max: 866.62
Date: 08-02 at 02:20:04, #particle: 15, iter: 67, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 785.94, max: 833.93
Date: 08-02 at 02:20:54, #particle: 15, iter: 68, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 823.41, max: 871.53
Date: 08-02 at 02:21:39, #particle: 15, iter: 69, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 798.45, max: 881.44
Date: 08-02 at 02:22:29, #particle: 15, iter: 70, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 806.40, max: 923.03
Date: 08-02 at 02:23:16, #particle: 15, iter: 71, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 788.29, max: 808.15
Date: 08-02 at 02:24:10, #particle: 15, iter: 72, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 789.21, max: 816.93
Date: 08-02 at 02:24:57, #particle: 15, iter: 74, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 3034.35, max: 3831.82
Date: 08-02 at 02:25:52, #particle: 15, iter: 75, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 1592.62, max: 2557.05
Date: 08-02 at 02:26:41, #particle: 15, iter: 76, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 1101.05, max: 1668.43
Date: 08-02 at 02:27:31, #particle: 15, iter: 77, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 851.47, max: 908.33
Date: 08-02 at 02:28:19, #particle: 15, iter: 78, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 888.29, max: 954.35
Date: 08-02 at 02:29:08, #particle: 15, iter: 79, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 840.28, max: 883.84
Date: 08-02 at 02:29:58, #particle: 15, iter: 80, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 777.41(5), mean: 897.66, max: 941.09
Date: 08-02 at 02:30:46, #particle: 15, iter: 81, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 828.70, max: 927.35
Date: 08-02 at 02:31:35, #particle: 15, iter: 82, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 871.34, max: 968.94
Date: 08-02 at 02:32:23, #particle: 15, iter: 83, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 812.95, max: 875.32
Date: 08-02 at 02:33:14, #particle: 15, iter: 84, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 808.46, max: 885.56
Date: 08-02 at 02:34:03, #particle: 15, iter: 85, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 834.94, max: 904.07
Date: 08-02 at 02:34:51, #particle: 15, iter: 86, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 781.17, max: 807.38
Date: 08-02 at 02:35:41, #particle: 15, iter: 87, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 782.16, max: 821.53
Date: 08-02 at 02:36:30, #particle: 15, iter: 88, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 780.09, max: 807.58
Date: 08-02 at 02:37:17, #particle: 15, iter: 89, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 781.67, max: 831.18
Date: 08-02 at 02:38:10, #particle: 15, iter: 90, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 779.76, max: 802.55
Date: 08-02 at 02:39:01, #particle: 15, iter: 92, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 3230.17, max: 3765.83
Date: 08-02 at 02:39:57, #particle: 15, iter: 93, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 2685.70, max: 3494.92
Date: 08-02 at 02:40:49, #particle: 15, iter: 94, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 1259.63, max: 2175.55
Date: 08-02 at 02:41:41, #particle: 15, iter: 95, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 1113.99, max: 1825.94
Date: 08-02 at 02:42:30, #particle: 15, iter: 96, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 970.01, max: 1105.19
Date: 08-02 at 02:43:17, #particle: 15, iter: 97, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 850.93, max: 929.89
Date: 08-02 at 02:44:05, #particle: 15, iter: 98, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 877.70, max: 1010.69
Date: 08-02 at 02:44:52, #particle: 15, iter: 99, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 880.74, max: 1040.88
Date: 08-02 at 02:45:38, #particle: 15, iter: 100, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 828.72, max: 929.34
Date: 08-02 at 02:46:26, #particle: 15, iter: 102, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 2815.17, max: 3890.09
Date: 08-02 at 02:47:17, #particle: 15, iter: 103, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 2231.97, max: 3161.15
Date: 08-02 at 02:48:05, #particle: 15, iter: 104, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 1622.06, max: 2157.07
Date: 08-02 at 02:48:53, #particle: 15, iter: 105, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 1235.49, max: 1740.72
Date: 08-02 at 02:49:41, #particle: 15, iter: 106, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 859.21, max: 980.75
Date: 08-02 at 02:50:29, #particle: 15, iter: 107, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 885.48, max: 954.46
Date: 08-02 at 02:51:16, #particle: 15, iter: 108, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 886.32, max: 955.23
Date: 08-02 at 02:52:03, #particle: 15, iter: 109, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 826.28, max: 909.65
Date: 08-02 at 02:52:50, #particle: 15, iter: 110, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.93(5), mean: 810.80, max: 885.56
Date: 08-02 at 02:53:40, #particle: 15, iter: 112, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.73(5), mean: 3159.19, max: 3748.15
Date: 08-02 at 02:54:33, #particle: 15, iter: 113, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.73(5), mean: 2782.92, max: 3317.62
Date: 08-02 at 02:55:23, #particle: 15, iter: 114, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.73(5), mean: 1414.20, max: 2069.58
Date: 08-02 at 02:56:13, #particle: 15, iter: 115, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.73(5), mean: 1043.04, max: 1411.90
Date: 08-02 at 02:56:59, #particle: 15, iter: 116, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 774.73(5), mean: 852.22, max: 1115.14
Date: 08-02 at 02:57:47, #particle: 15, iter: 117, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 773.62(5), mean: 810.51, max: 842.69
Date: 08-02 at 02:58:33, #particle: 15, iter: 118, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 772.59(5), mean: 819.00, max: 871.64
Date: 08-02 at 02:59:22, #particle: 15, iter: 119, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 770.84(5), mean: 803.61, max: 829.10
Date: 08-02 at 03:00:05, #particle: 15, iter: 120, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 767.69(5), mean: 796.52, max: 828.32
Date: 08-02 at 03:00:52, #particle: 15, iter: 121, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 767.69(5), mean: 798.51, max: 839.77
Date: 08-02 at 03:01:37, #particle: 15, iter: 122, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 767.69(5), mean: 794.99, max: 826.00
Date: 08-02 at 03:02:23, #particle: 15, iter: 123, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 767.69(5), mean: 797.22, max: 835.95
Date: 08-02 at 03:03:09, #particle: 15, iter: 124, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 767.69(5), mean: 816.52, max: 881.38
Date: 08-02 at 03:03:55, #particle: 15, iter: 125, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 767.69(5), mean: 797.61, max: 829.95
Date: 08-02 at 03:04:42, #particle: 15, iter: 126, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 767.69(5), mean: 804.47, max: 836.59
Date: 08-02 at 03:05:28, #particle: 15, iter: 127, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 767.69(5), mean: 796.40, max: 829.48
Date: 08-02 at 03:06:15, #particle: 15, iter: 128, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.28(5), mean: 768.05, max: 780.42
Date: 08-02 at 03:07:03, #particle: 15, iter: 129, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.28(5), mean: 767.53, max: 778.92
Date: 08-02 at 03:07:49, #particle: 15, iter: 130, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 766.36, max: 778.92
Date: 08-02 at 03:08:38, #particle: 15, iter: 131, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 766.92, max: 791.66
Date: 08-02 at 03:09:23, #particle: 15, iter: 132, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 765.38, max: 768.62
Date: 08-02 at 03:10:13, #particle: 15, iter: 133, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 765.19, max: 767.69
Date: 08-02 at 03:11:06, #particle: 15, iter: 134, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 751.02, max: 751.02
Date: 08-02 at 03:11:49, #particle: 15, iter: 135, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 751.02, max: 751.02
Date: 08-02 at 03:12:37, #particle: 15, iter: 136, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 751.02, max: 751.02
Date: 08-02 at 03:13:21, #particle: 15, iter: 137, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 751.02, max: 751.02
Date: 08-02 at 03:14:05, #particle: 15, iter: 138, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 751.02, max: 751.02
Date: 08-02 at 03:14:56, #particle: 15, iter: 139, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 751.02, max: 751.02
Date: 08-02 at 03:15:41, #particle: 15, iter: 141, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 2916.57, max: 3764.56
Date: 08-02 at 03:16:31, #particle: 15, iter: 142, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 1578.01, max: 2450.34
Date: 08-02 at 03:17:19, #particle: 15, iter: 143, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 1078.08, max: 1662.35
Date: 08-02 at 03:18:06, #particle: 15, iter: 144, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 1077.06, max: 1638.77
Date: 08-02 at 03:18:53, #particle: 15, iter: 145, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 840.14, max: 1094.92
Date: 08-02 at 03:19:39, #particle: 15, iter: 146, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 809.95, max: 851.93
Date: 08-02 at 03:20:25, #particle: 15, iter: 147, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 797.09, max: 837.27
Date: 08-02 at 03:21:09, #particle: 15, iter: 148, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 792.17, max: 838.62
Date: 08-02 at 03:21:56, #particle: 15, iter: 149, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 751.02(5), mean: 785.49, max: 822.78
