Date: 08-01 at 22:04:34, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 969.35(8), mean: 2864.79, max: 3692.32
Date: 08-01 at 22:05:24, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 931.36(8), mean: 2465.48, max: 3463.66
Date: 08-01 at 22:06:13, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 905.05(8), mean: 1730.58, max: 2780.58
Date: 08-01 at 22:06:56, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 883.64(7), mean: 1343.54, max: 1986.60
Date: 08-01 at 22:07:43, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 871.91(7), mean: 1216.50, max: 1838.61
Date: 08-01 at 22:08:28, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 851.85(7), mean: 1210.14, max: 1807.14
Date: 08-01 at 22:09:15, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 851.85(7), mean: 1116.47, max: 1429.76
Date: 08-01 at 22:10:04, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 851.85(7), mean: 1073.70, max: 1389.21
Date: 08-01 at 22:10:55, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 840.18(7), mean: 948.32, max: 1245.11
Date: 08-01 at 22:11:43, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 824.34(7), mean: 965.95, max: 1261.84
Date: 08-01 at 22:12:34, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 804.38(6), mean: 885.45, max: 1008.25
Date: 08-01 at 22:13:20, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 804.38(6), mean: 873.58, max: 925.51
Date: 08-01 at 22:14:07, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 804.38(6), mean: 860.19, max: 909.12
Date: 08-01 at 22:14:54, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 804.38(6), mean: 860.90, max: 937.27
Date: 08-01 at 22:15:43, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 804.38(6), mean: 830.54, max: 880.31
Date: 08-01 at 22:16:34, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 804.38(6), mean: 980.33, max: 1274.75
Date: 08-01 at 22:17:23, #particle: 15, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 804.38(6), mean: 892.78, max: 1172.49
Date: 08-01 at 22:18:09, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 804.23(6), mean: 893.35, max: 1185.70
Date: 08-01 at 22:18:59, #particle: 15, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 804.23(6), mean: 837.84, max: 927.05
Date: 08-01 at 22:19:46, #particle: 15, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 804.23(6), mean: 876.66, max: 963.71
Date: 08-01 at 22:20:38, #particle: 15, iter: 22, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 794.46(6), mean: 852.64, max: 998.14
Date: 08-01 at 22:21:29, #particle: 15, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 790.44(6), mean: 893.74, max: 1030.82
Date: 08-01 at 22:22:21, #particle: 15, iter: 24, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 790.44(6), mean: 833.53, max: 863.36
Date: 08-01 at 22:23:07, #particle: 15, iter: 25, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 790.44(6), mean: 872.94, max: 914.38
Date: 08-01 at 22:23:57, #particle: 15, iter: 26, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 790.44(6), mean: 870.64, max: 950.81
Date: 08-01 at 22:24:50, #particle: 15, iter: 27, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 790.44(6), mean: 836.13, max: 892.47
Date: 08-01 at 22:25:40, #particle: 15, iter: 29, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 790.44(6), mean: 915.05, max: 1123.32
