Date: 08-01 at 21:45:31, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 6653.04(24), mean: 8866.68, max: 9425.29
Date: 08-01 at 21:53:17, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 6083.29(24), mean: 8974.31, max: 9599.54
Date: 08-01 at 22:01:05, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5941.48(24), mean: 9047.05, max: 9754.82
Date: 08-01 at 22:09:59, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5891.95(24), mean: 8952.96, max: 9849.52
Date: 08-01 at 22:18:57, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5839.34(24), mean: 8887.67, max: 9789.21
Date: 08-01 at 22:27:51, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5827.54(24), mean: 8850.96, max: 9710.87
Date: 08-01 at 22:36:35, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5827.54(24), mean: 8870.25, max: 9868.54
Date: 08-01 at 22:45:18, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5827.54(24), mean: 8706.05, max: 9867.16
Date: 08-01 at 22:54:22, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5827.54(24), mean: 8798.38, max: 9882.93
Date: 08-01 at 23:02:06, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5827.54(24), mean: 8596.50, max: 9918.44
Date: 08-01 at 23:10:59, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5788.10(31), mean: 6319.24, max: 6896.48
Date: 08-01 at 23:18:29, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5604.87(30), mean: 6264.08, max: 6713.40
Date: 08-01 at 23:25:57, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5558.57(30), mean: 6319.53, max: 6773.59
Date: 08-01 at 23:33:42, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5556.16(30), mean: 6385.26, max: 6836.05
Date: 08-01 at 23:41:35, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5556.16(30), mean: 6411.39, max: 6851.86
Date: 08-01 at 23:49:28, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5556.16(30), mean: 6269.38, max: 6870.14
Date: 08-01 at 23:56:43, #particle: 15, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5556.16(30), mean: 6229.95, max: 6890.07
Date: 08-02 at 00:04:24, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5556.16(30), mean: 6148.06, max: 6905.06
Date: 08-02 at 00:11:48, #particle: 15, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5556.16(30), mean: 6303.26, max: 6830.74
