Date: 08-05 at 13:07:00, #particle: 25, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1636.59(5), mean: 3114.30, max: 4397.62
Date: 08-05 at 13:08:02, #particle: 25, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1545.28(7), mean: 2833.64, max: 3942.02
Date: 08-05 at 13:09:06, #particle: 25, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1433.05(7), mean: 2167.94, max: 3250.84
Date: 08-05 at 13:10:07, #particle: 25, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1339.46(7), mean: 1552.00, max: 1763.08
Date: 08-05 at 13:11:01, #particle: 25, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1309.64(7), mean: 1573.45, max: 1754.07
Date: 08-05 at 13:12:07, #particle: 25, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1309.64(7), mean: 1608.67, max: 1786.27
Date: 08-05 at 13:13:23, #particle: 25, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1309.64(7), mean: 1436.56, max: 1548.73
Date: 08-05 at 13:14:39, #particle: 25, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1278.55(8), mean: 1393.12, max: 1498.55
Date: 08-05 at 13:15:33, #particle: 25, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1261.63(8), mean: 1470.79, max: 1598.87
Date: 08-05 at 13:16:43, #particle: 25, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1261.63(8), mean: 1540.88, max: 1670.66
Date: 08-05 at 13:18:01, #particle: 25, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1261.63(8), mean: 1400.05, max: 1555.61
Date: 08-05 at 13:19:11, #particle: 25, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1261.63(8), mean: 1428.89, max: 1541.08
Date: 08-05 at 13:20:08, #particle: 25, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1261.63(8), mean: 1391.82, max: 1502.19
Date: 08-05 at 13:21:23, #particle: 25, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1261.63(8), mean: 1573.37, max: 1908.93
Date: 08-05 at 13:22:39, #particle: 25, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1261.63(8), mean: 1427.66, max: 1909.79
Date: 08-05 at 13:23:44, #particle: 25, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1261.63(8), mean: 1429.65, max: 1939.89
Date: 08-05 at 13:24:42, #particle: 25, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1224.09(10), mean: 1358.55, max: 1904.46
Date: 08-05 at 13:25:51, #particle: 25, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1198.78(9), mean: 1391.92, max: 1638.17
Date: 08-05 at 13:27:08, #particle: 25, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1197.78(9), mean: 1402.16, max: 1691.09
Date: 08-05 at 13:28:15, #particle: 25, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1197.78(9), mean: 1332.08, max: 1422.97
Date: 08-05 at 13:29:26, #particle: 25, iter: 22, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1172.86(9), mean: 1250.44, max: 1360.06
Date: 08-05 at 13:30:42, #particle: 25, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1165.45(8), mean: 1257.91, max: 1368.14
Date: 08-05 at 13:31:45, #particle: 25, iter: 24, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1165.45(8), mean: 1248.57, max: 1332.39
Date: 08-05 at 13:32:39, #particle: 25, iter: 25, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1165.45(8), mean: 1283.33, max: 1382.28
Date: 08-05 at 13:33:44, #particle: 25, iter: 26, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1165.45(8), mean: 1268.30, max: 1391.53
Date: 08-05 at 13:34:58, #particle: 25, iter: 27, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1165.45(8), mean: 1242.53, max: 1403.51
Date: 08-05 at 13:36:08, #particle: 25, iter: 29, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1160.79(8), mean: 1364.95, max: 1617.37
Date: 08-05 at 13:37:07, #particle: 25, iter: 30, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1160.79(8), mean: 1312.08, max: 1523.35
Date: 08-05 at 13:38:19, #particle: 25, iter: 31, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1160.79(8), mean: 1238.75, max: 1561.11
Date: 08-05 at 13:39:25, #particle: 25, iter: 32, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1160.79(8), mean: 1227.29, max: 1376.56
Date: 08-05 at 13:40:42, #particle: 25, iter: 34, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1160.79(8), mean: 1407.66, max: 1610.63
Date: 08-05 at 13:41:55, #particle: 25, iter: 36, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1160.79(8), mean: 3943.95, max: 4834.20
Date: 08-05 at 13:43:00, #particle: 25, iter: 37, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1160.79(8), mean: 2869.23, max: 4139.00
Date: 08-05 at 13:44:04, #particle: 25, iter: 38, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1160.79(8), mean: 2151.36, max: 3286.04
Date: 08-05 at 13:45:10, #particle: 25, iter: 40, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1160.79(8), mean: 2067.31, max: 3082.76
Date: 08-05 at 13:46:20, #particle: 25, iter: 41, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1160.79(8), mean: 1778.65, max: 2753.13
Date: 08-05 at 13:47:18, #particle: 25, iter: 42, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1160.79(8), mean: 1424.06, max: 2247.12
Date: 08-05 at 13:48:34, #particle: 25, iter: 43, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1160.31(9), mean: 1348.16, max: 2108.83
Date: 08-05 at 13:49:41, #particle: 25, iter: 44, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1154.05(9), mean: 1360.18, max: 2145.09
Date: 08-05 at 13:50:51, #particle: 25, iter: 45, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1154.05(9), mean: 1251.01, max: 1389.94
Date: 08-05 at 13:52:00, #particle: 25, iter: 46, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1140.15(9), mean: 1232.51, max: 1401.01
Date: 08-05 at 13:53:09, #particle: 25, iter: 47, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1140.15(9), mean: 1286.73, max: 1473.95
Date: 08-05 at 13:54:17, #particle: 25, iter: 48, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1140.15(9), mean: 1272.03, max: 1371.60
Date: 08-05 at 13:55:25, #particle: 25, iter: 49, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1140.15(9), mean: 1248.14, max: 1351.16
Date: 08-05 at 13:56:35, #particle: 25, iter: 50, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1140.15(9), mean: 1180.93, max: 1270.54
Date: 08-05 at 13:57:53, #particle: 25, iter: 52, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1133.08(9), mean: 1430.79, max: 1977.63
Date: 08-05 at 13:59:01, #particle: 25, iter: 53, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1133.08(9), mean: 1263.66, max: 1558.35
Date: 08-05 at 14:00:02, #particle: 25, iter: 54, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1130.22(8), mean: 1211.21, max: 1428.44
Date: 08-05 at 14:01:11, #particle: 25, iter: 55, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1129.07(8), mean: 1171.77, max: 1225.20
Date: 08-05 at 14:02:12, #particle: 25, iter: 56, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1129.07(8), mean: 1176.29, max: 1242.13
Date: 08-05 at 14:03:30, #particle: 25, iter: 57, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1129.07(8), mean: 1170.58, max: 1232.48
Date: 08-05 at 14:04:33, #particle: 25, iter: 58, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1129.07(8), mean: 1201.37, max: 1294.23
Date: 08-05 at 14:05:31, #particle: 25, iter: 59, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1115.42(8), mean: 1176.04, max: 1280.89
Date: 08-05 at 14:06:47, #particle: 25, iter: 60, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.53(8), mean: 1164.91, max: 1269.85
Date: 08-05 at 14:07:46, #particle: 25, iter: 61, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.53(8), mean: 1160.17, max: 1264.75
Date: 08-05 at 14:08:48, #particle: 25, iter: 62, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.53(8), mean: 1158.01, max: 1243.49
Date: 08-05 at 14:10:02, #particle: 25, iter: 63, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.53(8), mean: 1164.26, max: 1273.47
Date: 08-05 at 14:11:09, #particle: 25, iter: 64, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.53(8), mean: 1159.03, max: 1254.64
Date: 08-05 at 14:12:15, #particle: 25, iter: 66, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.53(8), mean: 1462.28, max: 1978.48
Date: 08-05 at 14:13:15, #particle: 25, iter: 67, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.53(8), mean: 1378.47, max: 2011.31
Date: 08-05 at 14:14:12, #particle: 25, iter: 68, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.53(8), mean: 1161.63, max: 1420.03
Date: 08-05 at 14:15:07, #particle: 25, iter: 69, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.35(8), mean: 1147.15, max: 1309.64
Date: 08-05 at 14:16:08, #particle: 25, iter: 70, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.35(8), mean: 1153.74, max: 1354.26
Date: 08-05 at 14:17:09, #particle: 25, iter: 71, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.35(8), mean: 1148.85, max: 1308.23
Date: 08-05 at 14:18:10, #particle: 25, iter: 72, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.35(8), mean: 1149.31, max: 1347.49
Date: 08-05 at 14:19:09, #particle: 25, iter: 73, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.35(8), mean: 1147.66, max: 1370.23
Date: 08-05 at 14:20:07, #particle: 25, iter: 75, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.35(8), mean: 1399.19, max: 1729.01
Date: 08-05 at 14:21:08, #particle: 25, iter: 76, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.35(8), mean: 1240.17, max: 1535.53
Date: 08-05 at 14:22:02, #particle: 25, iter: 77, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.35(8), mean: 1219.18, max: 1465.84
Date: 08-05 at 14:23:03, #particle: 25, iter: 78, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1111.35(8), mean: 1168.06, max: 1275.38
Date: 08-05 at 14:24:00, #particle: 25, iter: 80, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1434.97, max: 1737.79
Date: 08-05 at 14:24:59, #particle: 25, iter: 82, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 3978.45, max: 4660.86
Date: 08-05 at 14:25:58, #particle: 25, iter: 83, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 2948.75, max: 4082.55
Date: 08-05 at 14:26:49, #particle: 25, iter: 84, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 2044.84, max: 3124.27
Date: 08-05 at 14:27:50, #particle: 25, iter: 86, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1943.54, max: 3065.33
Date: 08-05 at 14:28:52, #particle: 25, iter: 87, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1580.82, max: 2480.68
Date: 08-05 at 14:30:08, #particle: 25, iter: 88, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1556.85, max: 2478.65
Date: 08-05 at 14:31:09, #particle: 25, iter: 89, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1293.20, max: 1969.12
Date: 08-05 at 14:32:07, #particle: 25, iter: 91, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1505.72, max: 1885.73
Date: 08-05 at 14:33:07, #particle: 25, iter: 92, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1349.62, max: 1639.15
Date: 08-05 at 14:34:12, #particle: 25, iter: 94, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 3944.36, max: 4941.97
Date: 08-05 at 14:35:34, #particle: 25, iter: 95, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 3792.47, max: 4876.56
Date: 08-05 at 14:36:43, #particle: 25, iter: 97, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 3160.05, max: 4444.53
Date: 08-05 at 14:37:54, #particle: 25, iter: 98, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1607.06, max: 3251.79
Date: 08-05 at 14:39:04, #particle: 25, iter: 99, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1569.12, max: 3259.73
Date: 08-05 at 14:40:05, #particle: 25, iter: 100, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1556.67, max: 2855.83
Date: 08-05 at 14:41:05, #particle: 25, iter: 102, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1670.93, max: 2788.58
Date: 08-05 at 14:42:07, #particle: 25, iter: 103, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1109.28(7), mean: 1477.63, max: 2498.11
