Date: 08-01 at 11:33:15, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 6561.83(23), mean: 9060.91, max: 9592.28
Date: 08-01 at 11:33:58, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 6642.37(24), mean: 9107.17, max: 9495.42
Date: 08-01 at 11:42:28, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 6152.21(23), mean: 9060.00, max: 9571.89
Date: 08-01 at 11:43:08, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 6151.44(24), mean: 9085.43, max: 9546.07
Date: 08-01 at 11:51:58, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 6044.30(23), mean: 9116.00, max: 9671.48
Date: 08-01 at 11:52:45, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5944.83(24), mean: 9073.98, max: 9664.14
Date: 08-01 at 12:01:25, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5907.06(23), mean: 9133.82, max: 9717.85
Date: 08-01 at 12:02:15, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5847.38(24), mean: 8917.50, max: 9724.40
Date: 08-01 at 12:10:54, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5903.67(23), mean: 8922.14, max: 9686.96
Date: 08-01 at 12:11:42, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5726.05(24), mean: 8976.14, max: 9827.16
Date: 08-01 at 12:21:29, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5903.67(23), mean: 8940.51, max: 9709.90
Date: 08-01 at 12:22:23, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5653.44(24), mean: 8939.75, max: 9869.69
Date: 08-01 at 12:32:04, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5903.67(23), mean: 8747.81, max: 9431.67
Date: 08-01 at 12:32:58, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5587.26(24), mean: 8330.15, max: 9799.37
Date: 08-01 at 12:42:51, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5903.67(23), mean: 8571.70, max: 9490.32
Date: 08-01 at 12:43:49, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5567.74(24), mean: 8352.36, max: 9765.65
Date: 08-01 at 12:53:30, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5858.70(31), mean: 8395.24, max: 9510.11
Date: 08-01 at 12:54:35, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5567.74(24), mean: 8356.34, max: 9623.72
Date: 08-01 at 13:04:07, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5560.33(30), mean: 8333.73, max: 9437.71
Date: 08-01 at 13:05:23, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5567.74(24), mean: 8344.85, max: 9593.80
Date: 08-01 at 13:14:38, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5490.35(30), mean: 8302.46, max: 9222.64
Date: 08-01 at 13:16:12, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5567.74(24), mean: 8371.07, max: 9552.43
Date: 08-01 at 13:24:21, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5464.73(29), mean: 8023.95, max: 9139.24
Date: 08-01 at 13:25:59, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5567.74(24), mean: 6043.39, max: 6477.71
Date: 08-01 at 13:33:51, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 7992.69, max: 9157.09
Date: 08-01 at 13:35:25, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5564.84(28), mean: 6408.15, max: 7077.48
Date: 08-01 at 13:43:31, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 7953.58, max: 9188.23
Date: 08-01 at 13:44:48, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5472.34(28), mean: 6468.45, max: 7130.07
Date: 08-01 at 13:53:17, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 7830.07, max: 9279.61
Date: 08-01 at 13:54:14, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5443.54(28), mean: 6470.13, max: 7175.66
Date: 08-01 at 14:03:07, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 7779.16, max: 9131.63
Date: 08-01 at 14:03:43, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5439.90(28), mean: 6407.35, max: 7237.12
Date: 08-01 at 14:12:53, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 7783.47, max: 9128.89
Date: 08-01 at 14:13:05, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5439.78(28), mean: 6295.00, max: 7306.89
Date: 08-01 at 14:22:29, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5350.13(31), mean: 6228.13, max: 7208.11
Date: 08-01 at 14:22:50, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 6094.40, max: 6701.24
Date: 08-01 at 14:31:53, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5321.28(31), mean: 6285.83, max: 7306.11
