Date: 08-08 at 19:11:56, #particle: 20, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1221.29(7), mean: 2398.20, max: 3325.08
Date: 08-08 at 19:13:34, #particle: 20, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1148.98(8), mean: 2044.22, max: 3047.28
Date: 08-08 at 19:15:12, #particle: 20, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1123.31(8), mean: 1870.86, max: 2989.64
Date: 08-08 at 19:16:51, #particle: 20, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1121.71(8), mean: 1747.81, max: 2697.85
Date: 08-08 at 19:18:29, #particle: 20, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1120.63(7), mean: 1547.99, max: 2287.15
Date: 08-08 at 19:20:03, #particle: 20, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1107.57(9), mean: 1208.01, max: 1318.41
Date: 08-08 at 19:21:41, #particle: 20, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1102.81(9), mean: 1256.78, max: 1354.10
Date: 08-08 at 19:23:21, #particle: 20, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1102.38(9), mean: 1322.18, max: 1464.26
Date: 08-08 at 19:24:59, #particle: 20, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1102.38(9), mean: 1338.15, max: 1496.57
Date: 08-08 at 19:26:40, #particle: 20, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1096.46(9), mean: 1365.62, max: 1471.37
Date: 08-08 at 19:28:21, #particle: 20, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1096.46(9), mean: 1328.16, max: 1487.04
Date: 08-08 at 19:30:02, #particle: 20, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1079.26(8), mean: 1334.06, max: 1511.76
Date: 08-08 at 19:31:41, #particle: 20, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1072.05(8), mean: 1203.34, max: 1425.36
Date: 08-08 at 19:33:23, #particle: 20, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1070.63(8), mean: 1239.78, max: 1455.28
Date: 08-08 at 19:35:01, #particle: 20, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1070.63(8), mean: 1187.68, max: 1386.00
Date: 08-08 at 19:36:39, #particle: 20, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1070.63(8), mean: 1152.10, max: 1265.67
Date: 08-08 at 19:38:20, #particle: 20, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1070.63(8), mean: 1184.12, max: 1312.74
Date: 08-08 at 19:39:52, #particle: 20, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1070.63(8), mean: 1124.74, max: 1201.36
Date: 08-08 at 19:41:30, #particle: 20, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1067.51(8), mean: 1254.32, max: 1583.66
Date: 08-08 at 19:43:01, #particle: 20, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1067.51(8), mean: 1164.03, max: 1386.81
Date: 08-08 at 19:44:34, #particle: 20, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1067.51(8), mean: 1148.13, max: 1308.38
Date: 08-08 at 19:46:03, #particle: 20, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1067.51(8), mean: 1111.35, max: 1237.50
Date: 08-08 at 19:47:37, #particle: 20, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1067.51(8), mean: 1268.01, max: 1620.25
Date: 08-08 at 19:49:11, #particle: 20, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1067.51(8), mean: 3096.55, max: 3805.83
Date: 08-08 at 19:50:54, #particle: 20, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1067.51(8), mean: 2458.33, max: 3229.27
Date: 08-08 at 19:52:34, #particle: 20, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1067.51(8), mean: 1837.57, max: 2681.89
Date: 08-08 at 19:54:13, #particle: 20, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1067.51(8), mean: 1762.69, max: 2579.55
Date: 08-08 at 19:55:52, #particle: 20, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1067.51(8), mean: 1423.06, max: 1907.27
Date: 08-08 at 19:57:31, #particle: 20, iter: 33, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1067.51(8), mean: 1331.03, max: 1859.38
Date: 08-08 at 19:59:08, #particle: 20, iter: 34, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1067.51(8), mean: 1346.88, max: 1794.24
Date: 08-08 at 20:00:45, #particle: 20, iter: 36, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1067.51(8), mean: 1373.58, max: 2004.61
Date: 08-08 at 20:02:19, #particle: 20, iter: 37, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1067.51(8), mean: 1207.77, max: 1688.12
Date: 08-08 at 20:04:01, #particle: 20, iter: 39, fix: false, local: true, cut car: true, new generate: true, Khoo: 954.16, best obj: 1067.51(8), mean: 3183.84, max: 3593.19
