Date: 07-30 at 13:59:29, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 6504.09(24), mean: 8795.11, max: 9444.96
Date: 07-30 at 14:04:27, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 6514.22(24), mean: 9008.86, max: 9543.66
Date: 07-30 at 14:06:07, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5896.84(24), mean: 8742.12, max: 9445.11
Date: 07-30 at 14:10:47, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5921.78(24), mean: 8954.60, max: 9382.31
Date: 07-30 at 14:13:03, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5630.35(24), mean: 8747.16, max: 9495.22
Date: 07-30 at 14:17:48, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5723.38(24), mean: 8929.64, max: 9350.31
Date: 07-30 at 14:19:59, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5553.95(24), mean: 8753.45, max: 9589.54
Date: 07-30 at 14:24:25, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5609.87(24), mean: 8898.08, max: 9368.20
Date: 07-30 at 14:26:43, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5535.05(24), mean: 8650.54, max: 9674.43
Date: 07-30 at 14:30:53, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 8861.17, max: 9383.82
Date: 07-30 at 14:33:35, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5488.61(24), mean: 8705.16, max: 9749.89
Date: 07-30 at 14:37:26, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 8822.25, max: 9427.84
Date: 07-30 at 14:40:38, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 8235.07, max: 9483.66
Date: 07-30 at 14:44:36, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 8799.66, max: 9499.41
Date: 07-30 at 14:47:26, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 8263.05, max: 9548.15
Date: 07-30 at 14:51:30, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 8625.13, max: 9490.11
Date: 07-30 at 14:54:35, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 7928.75, max: 9358.41
Date: 07-30 at 14:58:47, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 8590.79, max: 9389.85
Date: 07-30 at 15:01:50, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 7952.61, max: 9261.98
Date: 07-30 at 15:06:00, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 8634.98, max: 9395.34
Date: 07-30 at 15:08:50, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 7806.45, max: 9046.57
Date: 07-30 at 15:13:00, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 8395.87, max: 9284.02
Date: 07-30 at 15:16:15, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 7898.39, max: 9113.24
Date: 07-30 at 15:20:13, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 8373.34, max: 9194.30
Date: 07-30 at 15:23:35, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 7334.55, max: 8988.17
Date: 07-30 at 15:27:35, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 7981.86, max: 9129.99
Date: 07-30 at 15:31:09, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 6771.25, max: 9035.71
Date: 07-30 at 15:35:05, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 7895.92, max: 9171.25
Date: 07-30 at 15:38:15, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 6805.13, max: 8903.58
Date: 07-30 at 15:42:21, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 8823.45, max: 9533.13
Date: 07-30 at 15:45:34, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 6570.99, max: 8594.52
Date: 07-30 at 15:48:47, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 8864.81, max: 9522.18
Date: 07-30 at 15:52:54, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 8815.50, max: 9533.13
Date: 07-30 at 15:55:14, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 8800.21, max: 9475.62
Date: 07-30 at 15:59:46, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 8841.18, max: 9543.49
Date: 07-30 at 16:01:50, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 8731.81, max: 9274.06
Date: 07-30 at 16:06:32, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 8824.58, max: 9482.58
Date: 07-30 at 16:08:34, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 8651.22, max: 9252.20
Date: 07-30 at 16:13:19, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 8774.45, max: 9336.68
Date: 07-30 at 16:15:54, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 6168.02, max: 6562.32
Date: 07-30 at 16:19:56, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 8578.54, max: 9243.15
Date: 07-30 at 16:22:28, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 6384.82, max: 6830.80
Date: 07-30 at 16:26:49, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 8239.77, max: 9235.29
Date: 07-30 at 16:29:19, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 6694.61, max: 7247.16
Date: 07-30 at 16:33:29, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 8217.62, max: 9214.09
Date: 07-30 at 16:36:06, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 6805.81, max: 7279.79
Date: 07-30 at 16:41:13, #particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 6340.71, max: 6815.72
Date: 07-30 at 16:43:35, #particle: 15, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 8699.70, max: 9360.72
Date: 07-30 at 16:48:09, #particle: 15, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 6421.20, max: 6883.93
Date: 07-30 at 16:50:08, #particle: 15, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 8503.91, max: 9239.65
Date: 07-30 at 16:55:19, #particle: 15, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.62(24), mean: 8691.75, max: 9360.72
Date: 07-30 at 16:56:51, #particle: 15, iter: 33, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5603.85(24), mean: 8472.98, max: 9303.91
