Date: 09-15 at 13:10:57, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1592.69(15), mean: 3403.32, max: 3774.55
Date: 09-15 at 13:12:22, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1407.76(14), mean: 3060.07, max: 3716.52
Date: 09-15 at 13:13:53, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1293.28(14), mean: 2819.83, max: 3569.53
Date: 09-15 at 13:15:19, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1096.24(15), mean: 1398.85, max: 1628.08
Date: 09-15 at 13:16:46, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1037.70(14), mean: 1407.82, max: 1650.38
Date: 09-15 at 13:18:05, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 931.47(13), mean: 1315.69, max: 1602.66
Date: 09-15 at 13:19:25, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 931.47(13), mean: 1203.49, max: 1556.94
Date: 09-15 at 13:20:44, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 931.47(13), mean: 1088.18, max: 1259.57
Date: 09-15 at 13:21:59, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 861.70(11), mean: 1042.07, max: 1261.23
Date: 09-15 at 13:23:12, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 861.70(11), mean: 1003.59, max: 1255.09
Date: 09-15 at 13:24:31, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 861.70(11), mean: 954.06, max: 1066.56
Date: 09-15 at 13:25:45, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 861.70(11), mean: 932.87, max: 1041.53
Date: 09-15 at 13:27:03, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 861.70(11), mean: 942.62, max: 1076.40
Date: 09-15 at 13:28:21, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 861.70(11), mean: 1000.24, max: 1276.86
Date: 09-15 at 13:29:40, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 861.70(11), mean: 924.29, max: 1031.65
Date: 09-15 at 13:30:50, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 861.70(11), mean: 918.80, max: 1013.94
Date: 09-15 at 13:32:02, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 861.70(11), mean: 936.21, max: 1048.13
Date: 09-15 at 13:33:13, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 880.97, max: 959.18
Date: 09-15 at 13:34:33, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 3329.82, max: 3970.18
Date: 09-15 at 13:35:49, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 3107.88, max: 3713.29
Date: 09-15 at 13:37:18, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 1402.31, max: 1692.13
Date: 09-15 at 13:38:33, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 1380.95, max: 1814.83
Date: 09-15 at 13:39:41, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 1224.62, max: 1582.34
Date: 09-15 at 13:40:52, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 1091.61, max: 1260.78
Date: 09-15 at 13:42:10, #particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 1032.90, max: 1228.99
Date: 09-15 at 13:43:25, #particle: 15, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 1049.96, max: 1308.35
Date: 09-15 at 13:44:39, #particle: 15, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 988.29, max: 1211.06
