Date: 08-09 at 17:32:57, #particle: 25, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1714.24(15), mean: 2837.30, max: 3321.33
Date: 08-09 at 17:34:32, #particle: 25, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1654.82(15), mean: 2841.87, max: 3360.38
Date: 08-09 at 17:36:08, #particle: 25, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1653.77(15), mean: 2787.97, max: 3347.60
Date: 08-09 at 17:37:47, #particle: 25, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1640.75(14), mean: 2867.87, max: 3441.35
Date: 08-09 at 17:39:29, #particle: 25, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1640.75(14), mean: 2608.83, max: 3434.15
Date: 08-09 at 17:41:10, #particle: 25, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1640.75(14), mean: 2408.76, max: 3393.31
Date: 08-09 at 17:43:09, #particle: 25, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1601.61(17), mean: 1742.39, max: 1912.67
Date: 08-09 at 17:44:50, #particle: 25, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1582.98(17), mean: 1785.41, max: 1992.58
Date: 08-09 at 17:46:26, #particle: 25, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1566.94(17), mean: 1729.64, max: 1903.02
Date: 08-09 at 17:48:18, #particle: 25, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1535.46(16), mean: 1636.42, max: 1761.78
Date: 08-09 at 17:49:50, #particle: 25, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1535.46(16), mean: 1656.44, max: 1802.97
Date: 08-09 at 17:51:39, #particle: 25, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1534.76(16), mean: 1591.46, max: 1677.53
Date: 08-09 at 17:53:15, #particle: 25, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1534.76(16), mean: 1622.43, max: 1709.41
Date: 08-09 at 17:55:07, #particle: 25, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1526.36(16), mean: 1586.12, max: 1710.30
Date: 08-09 at 17:56:56, #particle: 25, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1522.63(16), mean: 1579.50, max: 1651.46
Date: 08-09 at 17:58:44, #particle: 25, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1522.63(16), mean: 1575.82, max: 1652.05
Date: 08-09 at 18:00:30, #particle: 25, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1522.63(16), mean: 1609.78, max: 1724.35
Date: 08-09 at 18:02:08, #particle: 25, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1522.63(16), mean: 1576.63, max: 1682.94
Date: 08-09 at 18:03:46, #particle: 25, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1516.42(16), mean: 1556.78, max: 1701.28
Date: 08-09 at 18:05:20, #particle: 25, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1514.84(16), mean: 1604.95, max: 1653.19
Date: 08-09 at 18:06:58, #particle: 25, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1508.79(16), mean: 1620.03, max: 1755.36
