Date: 07-28 at 22:42:37, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 6249.77(23), mean: 9328.93, max: 10230.90
Date: 07-28 at 22:56:12, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 5352.55(24), mean: 8980.92, max: 9921.25
Date: 07-28 at 23:09:49, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 5137.60(24), mean: 8669.40, max: 9804.95
Date: 07-28 at 23:23:35, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4966.69(24), mean: 8140.20, max: 9852.83
Date: 07-28 at 23:37:19, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4871.28(24), mean: 8044.12, max: 9806.88
Date: 07-28 at 23:52:24, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4814.89(24), mean: 5343.37, max: 5874.61
Date: 07-29 at 00:06:02, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4774.50(24), mean: 5426.37, max: 5905.34
Date: 07-29 at 00:19:40, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4763.94(24), mean: 5549.95, max: 5904.35
Date: 07-29 at 00:33:38, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4758.06(24), mean: 5602.50, max: 6005.88
Date: 07-29 at 00:47:33, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 5525.36, max: 6170.70
Date: 07-29 at 01:00:58, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 5528.77, max: 6192.49
Date: 07-29 at 01:14:53, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 5631.15, max: 6275.95
Date: 07-29 at 01:28:55, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 5775.17, max: 6391.07
Date: 07-29 at 01:43:01, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 5865.02, max: 6518.09
Date: 07-29 at 01:57:30, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 5661.70, max: 6520.95
Date: 07-29 at 02:12:14, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 5344.89, max: 5981.17
Date: 07-29 at 02:26:31, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 5174.88, max: 5428.43
Date: 07-29 at 02:40:51, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 5045.73, max: 5449.68
Date: 07-29 at 02:54:28, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 5042.32, max: 5582.45
Date: 07-29 at 03:07:52, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 9132.69, max: 9783.44
Date: 07-29 at 03:21:07, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 9064.47, max: 9715.05
Date: 07-29 at 03:34:41, #particle: 15, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 8765.78, max: 9563.71
Date: 07-29 at 03:48:16, #particle: 15, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 8100.68, max: 9353.31
Date: 07-29 at 04:01:51, #particle: 15, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 8107.41, max: 9376.92
Date: 07-29 at 04:15:30, #particle: 15, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 8071.51, max: 9241.95
Date: 07-29 at 04:29:31, #particle: 15, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.56(24), mean: 7644.31, max: 9255.54
Date: 07-29 at 04:44:26, #particle: 15, iter: 28, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4731.04(26), mean: 5195.00, max: 5552.21
Date: 07-29 at 04:57:59, #particle: 15, iter: 29, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4627.92(25), mean: 5255.02, max: 5648.83
Date: 07-29 at 05:10:55, #particle: 15, iter: 30, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5406.97, max: 5846.36
Date: 07-29 at 05:24:21, #particle: 15, iter: 31, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5394.84, max: 5820.14
Date: 07-29 at 05:38:28, #particle: 15, iter: 32, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5373.21, max: 5905.19
Date: 07-29 at 05:52:37, #particle: 15, iter: 33, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5337.32, max: 5998.36
Date: 07-29 at 06:06:31, #particle: 15, iter: 34, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5442.87, max: 6140.11
Date: 07-29 at 06:20:48, #particle: 15, iter: 35, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5315.89, max: 6156.44
Date: 07-29 at 06:35:55, #particle: 15, iter: 36, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 4956.81, max: 5301.83
Date: 07-29 at 06:49:51, #particle: 15, iter: 37, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5037.97, max: 5382.95
Date: 07-29 at 07:03:43, #particle: 15, iter: 38, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5107.46, max: 5424.21
Date: 07-29 at 07:16:55, #particle: 15, iter: 39, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5145.49, max: 5510.89
Date: 07-29 at 07:30:54, #particle: 15, iter: 41, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 9156.44, max: 10108.89
Date: 07-29 at 07:44:07, #particle: 15, iter: 42, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 9070.60, max: 9993.03
Date: 07-29 at 07:57:23, #particle: 15, iter: 43, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 8833.37, max: 9675.09
Date: 07-29 at 08:10:44, #particle: 15, iter: 44, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 8325.14, max: 9676.01
Date: 07-29 at 08:23:56, #particle: 15, iter: 45, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 8213.72, max: 9298.02
Date: 07-29 at 08:38:18, #particle: 15, iter: 46, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5147.61, max: 5468.79
Date: 07-29 at 08:51:17, #particle: 15, iter: 47, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5224.79, max: 5559.43
Date: 07-29 at 09:04:44, #particle: 15, iter: 48, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5279.25, max: 5622.09
Date: 07-29 at 09:17:47, #particle: 15, iter: 49, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5386.15, max: 5747.66
Date: 07-29 at 09:31:32, #particle: 15, iter: 51, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 9140.48, max: 9901.35
Date: 07-29 at 09:45:01, #particle: 15, iter: 52, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 9154.55, max: 9939.90
Date: 07-29 at 09:58:36, #particle: 15, iter: 53, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 9129.00, max: 9987.14
Date: 07-29 at 10:12:25, #particle: 15, iter: 54, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 8827.53, max: 9942.93
Date: 07-29 at 10:24:55, #particle: 15, iter: 55, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 8818.86, max: 9945.97
Date: 07-29 at 10:37:39, #particle: 15, iter: 56, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 7960.20, max: 9880.34
Date: 07-29 at 10:50:16, #particle: 15, iter: 57, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 7668.03, max: 9836.57
Date: 07-29 at 11:03:33, #particle: 15, iter: 58, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5415.12, max: 6043.81
Date: 07-29 at 11:15:56, #particle: 15, iter: 59, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5509.93, max: 6175.32
Date: 07-29 at 11:29:57, #particle: 15, iter: 61, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 9109.58, max: 9912.84
Date: 07-29 at 11:42:20, #particle: 15, iter: 62, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 8905.63, max: 9976.95
Date: 07-29 at 11:54:53, #particle: 15, iter: 63, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 8623.41, max: 9991.25
Date: 07-29 at 12:10:56, #particle: 15, iter: 64, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 8603.77, max: 9905.49
Date: 07-29 at 12:29:33, #particle: 15, iter: 65, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5394.73, max: 5783.20
Date: 07-29 at 12:46:41, #particle: 15, iter: 66, fix: false, local: false, cut car: false, new generate: true, Khoo: 4039.86, best obj: 4606.47(25), mean: 5454.81, max: 5885.90
