Date: 07-28 at 17:27:38, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 6441.43(24), mean: 9003.39, max: 9504.52
Date: 07-28 at 17:39:11, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5870.27(24), mean: 9013.35, max: 9577.51
Date: 07-28 at 17:51:01, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5752.24(24), mean: 8859.66, max: 9621.30
Date: 07-28 at 18:02:43, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5640.87(24), mean: 8906.23, max: 9666.47
Date: 07-28 at 18:14:31, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5612.09(24), mean: 8936.70, max: 9702.89
Date: 07-28 at 18:26:24, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5612.09(24), mean: 8857.26, max: 9643.45
Date: 07-28 at 18:38:20, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5612.09(24), mean: 8852.78, max: 9643.37
Date: 07-28 at 18:50:30, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5612.09(24), mean: 8652.33, max: 9739.76
Date: 07-28 at 19:02:45, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5612.09(24), mean: 8380.15, max: 9631.23
Date: 07-28 at 19:14:54, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5612.09(24), mean: 8328.74, max: 9367.74
Date: 07-28 at 19:28:15, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5585.32(31), mean: 5957.39, max: 6343.64
Date: 07-28 at 19:40:07, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5470.83(30), mean: 6054.34, max: 6471.33
Date: 07-28 at 19:52:05, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5464.17(30), mean: 6115.46, max: 6533.01
Date: 07-28 at 20:04:13, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5464.17(30), mean: 6224.00, max: 6625.44
Date: 07-28 at 20:16:25, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5464.17(30), mean: 6364.45, max: 6759.30
Date: 07-28 at 20:28:40, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5464.17(30), mean: 6446.59, max: 6783.24
Date: 07-28 at 20:41:18, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5464.17(30), mean: 6326.79, max: 6811.13
Date: 07-28 at 20:54:02, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5464.17(30), mean: 6123.03, max: 6796.18
Date: 07-28 at 21:06:24, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5464.17(30), mean: 6213.15, max: 6872.34
Date: 07-28 at 21:18:57, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5464.17(30), mean: 6251.33, max: 6930.40
Date: 07-28 at 21:32:29, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5446.47(32), mean: 5685.23, max: 6188.07
