Date: 08-02 at 01:13:23, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 1024.54(9), mean: 2882.40, max: 3774.53
Date: 08-02 at 01:14:14, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 970.46(8), mean: 2325.46, max: 3553.74
Date: 08-02 at 01:15:06, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 885.95(6), mean: 1480.70, max: 3090.14
Date: 08-02 at 01:15:49, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 866.85(6), mean: 1489.34, max: 3038.98
Date: 08-02 at 01:16:36, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 866.58(6), mean: 1222.91, max: 2241.92
Date: 08-02 at 01:17:28, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 866.58(6), mean: 990.64, max: 1074.83
Date: 08-02 at 01:18:09, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 866.58(6), mean: 1053.86, max: 1156.50
Date: 08-02 at 01:18:55, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 866.58(6), mean: 1054.28, max: 1178.55
Date: 08-02 at 01:19:40, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 866.58(6), mean: 1146.20, max: 1271.47
Date: 08-02 at 01:20:31, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 866.58(6), mean: 986.85, max: 1139.56
Date: 08-02 at 01:21:14, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 866.58(6), mean: 1037.89, max: 1213.18
Date: 08-02 at 01:21:59, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 866.58(6), mean: 1076.59, max: 1189.67
Date: 08-02 at 01:22:48, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 866.58(6), mean: 1046.31, max: 1218.70
Date: 08-02 at 01:23:34, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 865.26(7), mean: 941.86, max: 1090.70
Date: 08-02 at 01:24:19, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 847.66(6), mean: 944.70, max: 1099.64
Date: 08-02 at 01:25:06, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 847.11(6), mean: 890.86, max: 1058.18
Date: 08-02 at 01:25:49, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 845.75(6), mean: 906.74, max: 1036.48
Date: 08-02 at 01:26:36, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 844.89(6), mean: 877.64, max: 944.83
