name: r201-6, Alg: 5, number particle: 15
07-20 at 01:39:19, name: r101-5, Alg: 5, #particle: 5
07-20 at 03:07:18, name: r101-5, Alg: 5, #particle: 5
name: r201-6, Alg: 8, number particle: 15
07-20 at 03:29:15, name: r101-8, Alg: 8, #particle: 10
07-20 at 03:43:36, name: r101-5, Alg: 5, #particle: 20
name: r201-5, Alg: 10, number particle: 15
07-20 at 04:38:53, name: r101-5, Alg: 5, #particle: 35
07-20 at 05:08:53, name: r101-5, Alg: 5, #particle: 25
07-20 at 05:25:06, name: r101-5, Alg: 5, #particle: 30
name: r201-6, Alg: 11, number particle: 15
name: r201-6, Alg: 13, number particle: 15
name: r201-6, Alg: 14, number particle: 15
07-20 at 12:20:22, name: r201-10, Alg: 16, #particle: 15
name: r201-16, Alg: 15, number particle: 15
07-20 at 14:24:29, name: r101-5, Alg: 5, #particle: 5
name: r201-11, Alg: 16, number particle: 15
07-20 at 14:56:48, name: r101-8, Alg: 8, #particle: 5
07-20 at 15:14:43, name: r101-5, Alg: 10, #particle: 10
07-20 at 15:41:10, name: r101-5, Alg: 10, #particle: 5
07-20 at 15:50:38, name: r101-5, Alg: 5, #particle: 20
07-20 at 16:17:06, name: r101-5, Alg: 11, #particle: 5
07-20 at 16:27:25, name: r101-5, Alg: 5, #particle: 25
07-20 at 17:02:59, name: r101-5, Alg: 11, #particle: 10
07-20 at 17:17:10, name: r101-5, Alg: 13, #particle: 5
07-20 at 18:08:28, name: r101-5, Alg: 14, #particle: 5
07-20 at 18:09:08, name: r101-5, Alg: 13, #particle: 10
07-20 at 19:05:31, name: r101-20, Alg: 15, #particle: 5
07-20 at 19:14:17, name: r101-5, Alg: 14, #particle: 10
07-20 at 19:43:11, name: r101-5, Alg: 16, #particle: 5
07-20 at 19:57:12, name: r101-8, Alg: 8, #particle: 20
07-20 at 20:41:56, name: r101-8, Alg: 8, #particle: 35
07-20 at 20:49:46, name: r101-20, Alg: 15, #particle: 10
07-20 at 21:19:21, name: r101-8, Alg: 8, #particle: 30
07-20 at 22:18:44, name: r101-5, Alg: 16, #particle: 10
07-20 at 22:39:43, name: r101-8, Alg: 8, #particle: 25
07-20 at 23:36:10, name: r101-5, Alg: 10, #particle: 20
07-21 at 00:19:00, name: r101-5, Alg: 10, #particle: 30
07-21 at 00:46:47, name: r201-6, Alg: 5, #particle: 5
07-21 at 01:14:35, name: r201-6, Alg: 8, #particle: 5
07-21 at 01:24:30, name: r201-5, Alg: 10, #particle: 10
07-21 at 01:41:58, name: r101-5, Alg: 10, #particle: 25
07-21 at 01:54:28, name: r201-5, Alg: 10, #particle: 5
07-21 at 02:03:09, name: r101-5, Alg: 10, #particle: 35
07-21 at 02:43:12, name: rc102-6, Alg: 5, #particle: 15
07-21 at 02:54:29, name: r201-6, Alg: 11, #particle: 10
07-21 at 02:58:35, name: r101-5, Alg: 5, #particle: 20
07-21 at 03:30:19, name: r201-6, Alg: 11, #particle: 5
07-21 at 03:59:59, name: r201-6, Alg: 13, #particle: 10
07-21 at 04:00:15, name: r101-5, Alg: 11, #particle: 30
07-21 at 04:38:40, name: r201-6, Alg: 13, #particle: 5
07-21 at 05:08:32, name: r201-6, Alg: 14, #particle: 10
07-21 at 05:24:32, name: r101-5, Alg: 11, #particle: 25
07-21 at 05:29:20, name: r201-6, Alg: 14, #particle: 5
07-21 at 05:32:22, name: r101-8, Alg: 8, #particle: 20
07-21 at 06:22:58, name: r201-16, Alg: 15, #particle: 5
07-21 at 06:28:01, name: r201-16, Alg: 15, #particle: 10
07-21 at 07:09:05, name: r201-18, Alg: 16, #particle: 5
07-21 at 07:57:14, name: r201-18, Alg: 16, #particle: 10
07-21 at 08:02:52, name: r101-5, Alg: 13, #particle: 30
07-21 at 08:14:56, name: r101-5, Alg: 10, #particle: 20
07-21 at 08:48:02, name: r101-5, Alg: 11, #particle: 35
07-21 at 10:06:07, name: r101-5, Alg: 13, #particle: 25
07-21 at 10:25:07, name: r202-10, Alg: 16, #particle: 15
07-21 at 11:16:14, name: r201-20, Alg: 16, #particle: 15
07-21 at 11:37:04, name: r101-5, Alg: 11, #particle: 20
07-21 at 12:05:08, name: r101-5, Alg: 14, #particle: 30
